run_id,config,seed,n_robots,bid_mode,treat_threshold,rep,energy_capacity_j,status,returncode,wall_s,timeout_s,mission_time_s,sweeps_complete,total_energy_j,max_energy_j,min_energy_j,energy_spread_j,total_distance_m,treatments,weeds_treated_frac,intra_row_treated_frac,precision,redundant_treatments,duplicate_task_treatments,split_brain_awards,reannounce_events,abandon_events,git_sha,git_dirty,out_dir,command
diag_s0_n4_distance_r1,diag,0,4,distance,0.5,1,16000.0,ok,0,369.62,2400.0,1880,4,43836.0,12955.0,9114.0,3841.0,3207.7,128,0.7341772151898734,0.7777777777777778,0.453125,33,0,0,5,0,01a4818,1,/home/vishal-selvarasu/agri-runs/diag16/diag_s0_n4_distance_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=0 bid_mode:=distance treat_confidence_threshold:=0.5 energy_capacity_j:=16000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/diag16/diag_s0_n4_distance_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
diag_s0_n4_energy_aware_r1,diag,0,4,energy_aware,0.5,1,16000.0,ok,0,348.02,2400.0,1814,4,42288.0,12576.0,7966.0,4610.0,3085.6,127,0.7721518987341772,0.7777777777777778,0.48031496062992124,32,0,0,0,0,01a4818,1,/home/vishal-selvarasu/agri-runs/diag16/diag_s0_n4_energy_aware_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=0 bid_mode:=energy_aware treat_confidence_threshold:=0.5 energy_capacity_j:=16000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/diag16/diag_s0_n4_energy_aware_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
diag_s1_n4_distance_r1,diag,1,4,distance,0.5,1,16000.0,ok,0,390.66,2400.0,2094,4,48874.0,14491.0,6386.0,8105.0,3640.8,117,0.7088607594936709,0.6851851851851852,0.47863247863247865,21,0,0,0,0,01a4818,1,/home/vishal-selvarasu/agri-runs/diag16/diag_s1_n4_distance_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=1 bid_mode:=distance treat_confidence_threshold:=0.5 energy_capacity_j:=16000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/diag16/diag_s1_n4_distance_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
diag_s1_n4_energy_aware_r1,diag,1,4,energy_aware,0.5,1,16000.0,ok,0,429.05,2400.0,2270,4,55042.0,14928.0,11230.0,3698.0,4095.5,136,0.6835443037974683,0.6296296296296297,0.39705882352941174,33,0,0,0,0,01a4818,1,/home/vishal-selvarasu/agri-runs/diag16/diag_s1_n4_energy_aware_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=1 bid_mode:=energy_aware treat_confidence_threshold:=0.5 energy_capacity_j:=16000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/diag16/diag_s1_n4_energy_aware_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
