run_id,config,seed,n_robots,bid_mode,treat_threshold,rep,energy_capacity_j,status,returncode,wall_s,timeout_s,mission_time_s,sweeps_complete,total_energy_j,max_energy_j,min_energy_j,energy_spread_j,total_distance_m,treatments,weeds_treated_frac,intra_row_treated_frac,precision,redundant_treatments,duplicate_task_treatments,split_brain_awards,reannounce_events,abandon_events,git_sha,git_dirty,out_dir,command
diag_s0_n4_distance_r1,diag,0,4,distance,0.5,1,22000.0,ok,0,352.28,2400.0,1828,4,42946.0,12287.0,9739.0,2548.0,3134.3,129,0.759493670886076,0.8148148148148148,0.46511627906976744,35,0,0,2,0,01a4818,1,/home/vishal-selvarasu/agri-runs/diag22/diag_s0_n4_distance_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=0 bid_mode:=distance treat_confidence_threshold:=0.5 energy_capacity_j:=22000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/diag22/diag_s0_n4_distance_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
diag_s0_n4_energy_aware_r1,diag,0,4,energy_aware,0.5,1,22000.0,ok,0,381.34,2400.0,2002,4,44768.0,13953.0,6901.0,7052.0,3257.2,136,0.7215189873417721,0.7592592592592593,0.41911764705882354,39,0,0,0,0,01a4818,1,/home/vishal-selvarasu/agri-runs/diag22/diag_s0_n4_energy_aware_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=0 bid_mode:=energy_aware treat_confidence_threshold:=0.5 energy_capacity_j:=22000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/diag22/diag_s0_n4_energy_aware_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
diag_s1_n4_distance_r1,diag,1,4,distance,0.5,1,22000.0,ok,0,522.26,2400.0,2862,4,55427.0,16330.0,7199.0,9131.0,4108.0,128,0.6835443037974683,0.6296296296296297,0.421875,20,0,0,0,0,01a4818,1,/home/vishal-selvarasu/agri-runs/diag22/diag_s1_n4_distance_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=1 bid_mode:=distance treat_confidence_threshold:=0.5 energy_capacity_j:=22000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/diag22/diag_s1_n4_distance_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
diag_s1_n4_energy_aware_r1,diag,1,4,energy_aware,0.5,1,22000.0,ok,0,562.87,2400.0,2944,4,62933.0,19458.0,13144.0,6314.0,4658.1,156,0.7341772151898734,0.7592592592592593,0.3717948717948718,37,0,0,0,0,01a4818,1,/home/vishal-selvarasu/agri-runs/diag22/diag_s1_n4_energy_aware_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=1 bid_mode:=energy_aware treat_confidence_threshold:=0.5 energy_capacity_j:=22000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/diag22/diag_s1_n4_energy_aware_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
