run_id,config,seed,n_robots,bid_mode,treat_threshold,rep,energy_capacity_j,status,returncode,wall_s,timeout_s,mission_time_s,sweeps_complete,total_energy_j,max_energy_j,min_energy_j,energy_spread_j,total_distance_m,treatments,weeds_treated_frac,intra_row_treated_frac,precision,redundant_treatments,duplicate_task_treatments,split_brain_awards,reannounce_events,abandon_events,git_sha,git_dirty,out_dir,command
base_s12_n4_confidence_energy_r2,base,12,4,confidence_energy,0.5,2,22000.0,ok,0,361.89,2400.0,1927,4,42268.0,13514.0,5111.0,8403.0,3138.7,102,0.7088607594936709,0.6610169491525424,0.5490196078431373,19,0,0,0,0,30fe056,0,/home/vishal-selvarasu/agri-runs/batch/base_s12_n4_confidence_energy_r2,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=12 bid_mode:=confidence_energy treat_confidence_threshold:=0.5 energy_capacity_j:=22000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch/base_s12_n4_confidence_energy_r2/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s13_n4_distance_r1,base,13,4,distance,0.5,1,22000.0,ok,0,438.71,2400.0,2198,4,53192.0,15402.0,11024.0,4378.0,3981.1,122,0.6835443037974683,0.6610169491525424,0.4426229508196721,30,0,0,1,0,30fe056,0,/home/vishal-selvarasu/agri-runs/batch/base_s13_n4_distance_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=13 bid_mode:=distance treat_confidence_threshold:=0.5 energy_capacity_j:=22000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch/base_s13_n4_distance_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s13_n4_distance_r2,base,13,4,distance,0.5,2,22000.0,ok,0,466.87,2400.0,2324,4,47118.0,16344.0,7682.0,8662.0,3449.0,129,0.7215189873417721,0.7288135593220338,0.4418604651162791,32,0,0,1,0,30fe056,0,/home/vishal-selvarasu/agri-runs/batch/base_s13_n4_distance_r2,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=13 bid_mode:=distance treat_confidence_threshold:=0.5 energy_capacity_j:=22000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch/base_s13_n4_distance_r2/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s13_n4_confidence_energy_r1,base,13,4,confidence_energy,0.5,1,22000.0,ok,0,426.46,2400.0,2103,4,49527.0,14608.0,10558.0,4050.0,3654.4,133,0.759493670886076,0.7457627118644068,0.45112781954887216,30,0,0,0,0,30fe056,0,/home/vishal-selvarasu/agri-runs/batch/base_s13_n4_confidence_energy_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=13 bid_mode:=confidence_energy treat_confidence_threshold:=0.5 energy_capacity_j:=22000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch/base_s13_n4_confidence_energy_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s13_n4_confidence_energy_r2,base,13,4,confidence_energy,0.5,2,22000.0,ok,0,446.95,2400.0,2466,4,51163.0,16046.0,10775.0,5271.0,3749.1,140,0.7088607594936709,0.6779661016949152,0.4,27,0,0,5,0,30fe056,0,/home/vishal-selvarasu/agri-runs/batch/base_s13_n4_confidence_energy_r2,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=13 bid_mode:=confidence_energy treat_confidence_threshold:=0.5 energy_capacity_j:=22000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch/base_s13_n4_confidence_energy_r2/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s14_n4_distance_r1,base,14,4,distance,0.5,1,22000.0,ok,0,507.19,2400.0,2818,4,59989.0,19036.0,9413.0,9623.0,4453.7,143,0.6075949367088608,0.6041666666666666,0.3356643356643357,36,0,0,6,1,30fe056,0,/home/vishal-selvarasu/agri-runs/batch/base_s14_n4_distance_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=14 bid_mode:=distance treat_confidence_threshold:=0.5 energy_capacity_j:=22000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch/base_s14_n4_distance_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s14_n4_distance_r2,base,14,4,distance,0.5,2,22000.0,ok,0,484.61,2400.0,2693,4,63305.0,18441.0,12995.0,5446.0,4718.3,151,0.6835443037974683,0.6666666666666666,0.3576158940397351,38,0,0,0,0,30fe056,0,/home/vishal-selvarasu/agri-runs/batch/base_s14_n4_distance_r2,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=14 bid_mode:=distance treat_confidence_threshold:=0.5 energy_capacity_j:=22000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch/base_s14_n4_distance_r2/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s14_n4_confidence_energy_r1,base,14,4,confidence_energy,0.5,1,22000.0,ok,0,469.5,2400.0,2602,4,55228.0,16720.0,9831.0,6889.0,4078.7,140,0.6708860759493671,0.6666666666666666,0.37857142857142856,32,0,0,0,0,30fe056,0,/home/vishal-selvarasu/agri-runs/batch/base_s14_n4_confidence_energy_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=14 bid_mode:=confidence_energy treat_confidence_threshold:=0.5 energy_capacity_j:=22000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch/base_s14_n4_confidence_energy_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s14_n4_confidence_energy_r2,base,14,4,confidence_energy,0.5,2,22000.0,ok,0,467.36,2400.0,2565,4,58105.0,17855.0,11331.0,6524.0,4311.0,144,0.6835443037974683,0.6666666666666666,0.375,41,0,0,3,1,30fe056,0,/home/vishal-selvarasu/agri-runs/batch/base_s14_n4_confidence_energy_r2,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=14 bid_mode:=confidence_energy treat_confidence_threshold:=0.5 energy_capacity_j:=22000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch/base_s14_n4_confidence_energy_r2/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s15_n4_distance_r1,base,15,4,distance,0.5,1,22000.0,ok,0,352.12,2400.0,1941,4,47670.0,13296.0,11396.0,1900.0,3560.4,113,0.6708860759493671,0.6923076923076923,0.4690265486725664,28,0,0,2,0,30fe056,0,/home/vishal-selvarasu/agri-runs/batch/base_s15_n4_distance_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=15 bid_mode:=distance treat_confidence_threshold:=0.5 energy_capacity_j:=22000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch/base_s15_n4_distance_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
