run_id,config,seed,n_robots,bid_mode,treat_threshold,rep,energy_capacity_j,status,returncode,wall_s,timeout_s,mission_time_s,sweeps_complete,total_energy_j,max_energy_j,min_energy_j,energy_spread_j,total_distance_m,treatments,weeds_treated_frac,intra_row_treated_frac,precision,redundant_treatments,duplicate_task_treatments,split_brain_awards,reannounce_events,abandon_events,git_sha,git_dirty,out_dir,command
base_s2_n4_confidence_energy_r1,base,2,4,confidence_energy,0.5,1,16000.0,ok,0,400.0,2400.0,2014,4,48372.0,13939.0,8661.0,5278.0,3559.2,135,0.759493670886076,0.7142857142857143,0.4444444444444444,40,3,3,14,1,8813f76,0,/home/vishal-selvarasu/agri-runs/batch16b/base_s2_n4_confidence_energy_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=2 bid_mode:=confidence_energy treat_confidence_threshold:=0.5 energy_capacity_j:=16000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch16b/base_s2_n4_confidence_energy_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s3_n4_distance_r1,base,3,4,distance,0.5,1,16000.0,ok,0,419.55,2400.0,2203,4,49752.0,14525.0,7580.0,6945.0,3691.5,123,0.7341772151898734,0.7090909090909091,0.4715447154471545,33,0,0,0,0,8813f76,0,/home/vishal-selvarasu/agri-runs/batch16b/base_s3_n4_distance_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=3 bid_mode:=distance treat_confidence_threshold:=0.5 energy_capacity_j:=16000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch16b/base_s3_n4_distance_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s3_n4_distance_r2,base,3,4,distance,0.5,2,16000.0,wall_timeout,0,2406.43,2400.0,,4,59813.0,17229.0,12027.0,5202.0,3699.0,149,0.7088607594936709,0.7636363636363637,0.37583892617449666,40,0,0,159,52,8813f76,0,/home/vishal-selvarasu/agri-runs/batch16b/base_s3_n4_distance_r2,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=3 bid_mode:=distance treat_confidence_threshold:=0.5 energy_capacity_j:=16000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch16b/base_s3_n4_distance_r2/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s3_n4_confidence_energy_r1,base,3,4,confidence_energy,0.5,1,16000.0,ok,0,412.77,2400.0,2143,4,52028.0,14629.0,9690.0,4939.0,3865.3,131,0.759493670886076,0.7636363636363637,0.4580152671755725,37,0,0,2,0,8813f76,0,/home/vishal-selvarasu/agri-runs/batch16b/base_s3_n4_confidence_energy_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=3 bid_mode:=confidence_energy treat_confidence_threshold:=0.5 energy_capacity_j:=16000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch16b/base_s3_n4_confidence_energy_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s3_n4_confidence_energy_r2,base,3,4,confidence_energy,0.5,2,16000.0,ok,0,407.04,2400.0,2156,4,55770.0,15077.0,11326.0,3751.0,4148.7,142,0.7721518987341772,0.7636363636363637,0.4295774647887324,38,0,0,0,0,8813f76,0,/home/vishal-selvarasu/agri-runs/batch16b/base_s3_n4_confidence_energy_r2,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=3 bid_mode:=confidence_energy treat_confidence_threshold:=0.5 energy_capacity_j:=16000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch16b/base_s3_n4_confidence_energy_r2/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s4_n4_distance_r1,base,4,4,distance,0.5,1,16000.0,ok,0,409.05,2400.0,2233,4,51245.0,14504.0,9710.0,4794.0,3786.3,134,0.7721518987341772,0.7666666666666667,0.4552238805970149,32,0,0,0,0,8813f76,0,/home/vishal-selvarasu/agri-runs/batch16b/base_s4_n4_distance_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=4 bid_mode:=distance treat_confidence_threshold:=0.5 energy_capacity_j:=16000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch16b/base_s4_n4_distance_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s4_n4_distance_r2,base,4,4,distance,0.5,2,16000.0,ok,0,469.97,2400.0,2584,4,51855.0,15693.0,9748.0,5945.0,3813.7,134,0.7215189873417721,0.7333333333333333,0.4253731343283582,33,0,0,9,2,8813f76,0,/home/vishal-selvarasu/agri-runs/batch16b/base_s4_n4_distance_r2,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=4 bid_mode:=distance treat_confidence_threshold:=0.5 energy_capacity_j:=16000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch16b/base_s4_n4_distance_r2/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s4_n4_confidence_energy_r1,base,4,4,confidence_energy,0.5,1,16000.0,ok,0,375.77,2400.0,2032,4,52115.0,14149.0,10113.0,4036.0,3912.4,118,0.6708860759493671,0.6833333333333333,0.4491525423728814,34,0,0,3,1,8813f76,0,/home/vishal-selvarasu/agri-runs/batch16b/base_s4_n4_confidence_energy_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=4 bid_mode:=confidence_energy treat_confidence_threshold:=0.5 energy_capacity_j:=16000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch16b/base_s4_n4_confidence_energy_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s4_n4_confidence_energy_r2,base,4,4,confidence_energy,0.5,2,16000.0,ok,0,413.36,2400.0,2262,4,46726.0,13912.0,7990.0,5922.0,3432.9,124,0.7721518987341772,0.7666666666666667,0.49193548387096775,27,0,0,0,0,8813f76,0,/home/vishal-selvarasu/agri-runs/batch16b/base_s4_n4_confidence_energy_r2,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=4 bid_mode:=confidence_energy treat_confidence_threshold:=0.5 energy_capacity_j:=16000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch16b/base_s4_n4_confidence_energy_r2/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
base_s5_n4_distance_r1,base,5,4,distance,0.5,1,16000.0,ok,0,351.97,2400.0,1886,4,43158.0,13130.0,9132.0,3998.0,3188.2,113,0.7974683544303798,0.7857142857142857,0.5575221238938053,19,0,0,0,0,8813f76,0,/home/vishal-selvarasu/agri-runs/batch16b/base_s5_n4_distance_r1,ros2 launch agri_swarm_bringup swarm.launch.py n_robots:=4 seed:=5 bid_mode:=distance treat_confidence_threshold:=0.5 energy_capacity_j:=16000.0 world_dir:=/home/vishal-selvarasu/agri-worlds treatments_csv:=/home/vishal-selvarasu/agri-runs/batch16b/base_s5_n4_distance_r1/treatments.csv max_mission_s:=20000.0 headless:=true use_allocator:=true
